The Shawshank Redemption	1994	8.811	9.3
The Godfather	1972	8.731	9.2
Intouchables	2011	8.72	8.5
The Green Mile	1999	8.653	8.5
12 Angry Men	1957	8.627	8.9
Forrest Gump	1994	8.621	8.7
One Flew Over the Cuckoo's Nest	1975	8.595	8.8
The Godfather: Part II	1974	8.537	9.0
Pulp Fiction	1994	8.506	9.0
The Lord of the Rings: The Return of the King	2003	8.401	8.9
La Vita è bella	1997	8.4	8.5
Se7en	1995	8.387	8.7
Schindler's List	1993	8.387	8.9
The Silence of the Lambs	1991	8.384	8.7
Django Unchained	2012	8.373	8.5
Goodfellas	1990	8.361	8.7
Scarface	1983	8.345	8.3
The Lord of the Rings: The Two Towers	2002	8.344	8.7
Fight Club	1999	8.33	8.8
A Beautiful Mind	2001	8.305	8.1
Inception	2010	8.291	8.8
The Lion King	1994	8.29	8.4
The Pianist	2002	8.268	8.5
Léon	1994	8.224	8.6
American History X	1998	8.217	8.6
Il buono, il brutto, il cattivo.	1966	8.209	9.0
The Boy in the Striped Pyjamas	2008	8.202	7.7
Once Upon a Time in America	1984	8.191	8.4
Braveheart	1995	8.186	8.4
Gran Torino	2008	8.183	8.2
Amadeus	1984	8.181	8.3
Saving Private Ryan	1998	8.179	8.6
Star Wars: Episode V - The Empire Strikes Back	1980	8.165	8.8
Platoon	1986	8.163	8.1
The Notebook	2004	8.159	7.9
Apocalypse Now	1979	8.159	8.5
The Pursuit of Happyness	2006	8.157	7.8
Star Wars: Episode VI - Return of the Jedi	1983	8.154	8.4
The Deer Hunter	1978	8.146	8.2
The Lord of the Rings: The Fellowship of the Ring	2001	8.141	8.8
The Prestige	2006	8.127	8.4
Pink Floyd The Wall	1982	8.124	7.8
Monty Python and the Holy Grail	1975	8.121	8.3
Gladiator	2000	8.116	8.5
Shutter Island	2010	8.115	8.0
The Help	2011	8.111	8.0
Casino	1995	8.105	8.2
Nuovo cinema Paradiso	1988	8.101	8.4
Heat	1995	8.098	8.3
Scent of a Woman	1992	8.088	7.8
The Godfather: Part III	1990	8.083	7.6
Good Will Hunting	1997	8.074	8.2
Hachi: A Dog's Tale	2009	8.068	8.1
Snatch.	2000	8.055	8.3
The Hunger Games: Catching Fire	2013	8.048	8.2
Cidade de Deus	2002	8.045	8.7
Full Metal Jacket	1987	8.043	8.3
Rain Man	1988	8.042	8.0
Per qualche dollaro in più	1965	8.037	8.3
Psycho	1960	8.036	8.6
The Sting	1973	8.031	8.3
Les choristes	2004	8.028	7.8
The Departed	2006	8.024	8.5
Requiem for a Dream	2000	8.009	8.4
Mononoke-hime	1997	8.008	8.4
The Dark Knight	2008	8.007	9.0
Girl, Interrupted	1999	8.002	7.2
Shichinin no samurai	1954	7.999	8.8
Star Wars	1977	7.994	8.7
In the Name of the Father	1993	7.991	8.1
Fiddler on the Roof	1971	7.991	7.8
Life of Brian	1979	7.988	8.1
Reservoir Dogs	1992	7.987	8.4
Rush	2013	7.986	8.3
Katedra	2002	7.981	7.3
The Butterfly Circus	2009	7.98	7.7
Carlito's Way	1993	7.98	7.9
Enemy at the Gates	2001	7.977	7.5
Hauru no ugoku shiro	2004	7.976	8.1
Sleepers	1996	7.972	7.4
Into the Wild	2007	7.971	8.1
Yip Man	2008	7.966	8.0
Persona	1966	7.965	8.1
Hotaru no haka	1988	7.964	8.4
Seven Pounds	2008	7.962	7.5
Baraka	1992	7.962	8.4
A Clockwork Orange	1971	7.956	8.4
Man on Fire	2004	7.954	7.7
Taxi Driver	1976	7.954	8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	7.954	8.5
The Devil's Advocate	1997	7.953	7.4
Lock, Stock and Two Smoking Barrels	1998	7.948	8.2
Mary and Max	2009	7.948	8.1
Unforgiven	1992	7.946	8.3
Awakenings	1990	7.946	7.6
Papillon	1973	7.945	8.0
Tonari no Totoro	1988	7.943	8.2
Night on Earth	1991	7.943	7.7
Breakfast at Tiffany's	1961	7.937	7.7
Metropolis	1927	7.926	8.4
Senna	2010	7.925	8.5
C'era una volta il West	1968	7.925	8.7
Inglourious Basterds	2009	7.919	8.3
The Mission	1986	7.918	7.4
The Boondock Saints	1999	7.917	7.8
Samsara	2011	7.916	8.2
And Now for Something Completely Different	1971	7.915	7.6
Captain Phillips	2013	7.913	8.1
The Graduate	1967	7.912	8.1
The Usual Suspects	1995	7.91	8.7
Kôkaku kidôtai	1995	7.909	7.9
Rear Window	1954	7.909	8.6
Blow	2001	7.906	7.1
Sen to Chihiro no kamikakushi	2001	7.905	8.6
Warrior	2011	7.904	8.2
The Shining	1980	7.904	8.5
Vozvrashchenie	2003	7.903	8.0
The Sixth Sense	1999	7.902	8.2
Casablanca	1942	7.9	8.7
Incendies	2010	7.899	8.1
The Great Dictator	1940	7.895	8.5
Ray	2004	7.894	7.7
Sunset Blvd.	1950	7.891	8.6
Rashômon	1950	7.891	8.4
Amator	1979	7.891	7.9
Raging Bull	1980	7.888	8.3
Roman Holiday	1953	7.886	8.1
Chinatown	1974	7.883	8.3
The Illusionist	2006	7.882	7.6
Le locataire	1976	7.882	7.7
Law Abiding Citizen	2009	7.879	7.3
Coach Carter	2005	7.875	7.1
Smultronstället	1957	7.874	8.3
Searching for Sugar Man	2012	7.874	8.1
Annie Hall	1977	7.869	8.2
Singin' in the Rain	1952	7.867	8.4
The Game	1997	7.867	7.4
Sami swoi	1967	7.864	7.9
Heima	2007	7.862	8.3
Philadelphia	1993	7.861	7.6
Kumonosu jô	1957	7.861	8.2
Hair	1979	7.859	7.3
Sztuka spadania	2004	7.858	7.7
Pirates of the Caribbean: The Curse of the Black Pearl	2003	7.858	8.0
Some Like It Hot	1959	7.858	8.3
It's a Wonderful Life	1946	7.856	8.7
The Hobbit: An Unexpected Journey	2012	7.856	8.0
The Blind Side	2009	7.853	7.6
A Bronx Tale	1993	7.853	7.7
Dancer in the Dark	2000	7.852	7.9
A Perfect World	1993	7.852	7.4
Murder in the First	1995	7.851	7.1
The King's Speech	2010	7.848	8.1
The Untouchables	1987	7.846	8.0
La Leggenda del pianista sull'oceano	1998	7.845	7.9
Donnie Brasco	1997	7.844	7.7
How to Train Your Dragon	2010	7.843	8.1
Dangerous Liaisons	1988	7.842	7.6
Alien	1979	7.842	8.5
Cabaret	1972	7.837	7.8
The Reader	2008	7.836	7.6
The Bourne Ultimatum	2007	7.833	8.1
Der Name der Rose	1986	7.831	7.7
Vincent	1982	7.824	8.3
Pirates of the Caribbean: Dead Man's Chest	2006	7.823	7.3
Jagten	2012	7.822	8.3
Primal Fear	1996	7.82	7.6
Detachment	2011	7.817	7.6
The Butterfly Effect	2004	7.817	7.6
Gone with the Wind	1939	7.816	8.2
I Am Sam	2001	7.814	7.5
The Dark Knight Rises	2012	7.812	8.6
The Kid	1921	7.807	8.3
They shoot horses, don't they?	1969	7.805	7.8
Per un pugno di dollari	1964	7.805	8.0
So weit die Füße tragen	2001	7.804	7.2
The Elephant Man	1980	7.802	8.2
Home	2009	7.802	7.6
Empire of the Sun	1987	7.8	7.7
To Kill a Mockingbird	1962	7.799	8.4
Stalker	1979	7.798	8.1
City Lights	1931	7.798	8.6
Touching the Void	2003	7.795	8.0
Amores perros	2000	7.795	8.1
Shrek	2001	7.794	7.9
American Gangster	2007	7.794	7.8
Edward Scissorhands	1990	7.793	8.0
Radio	2003	7.793	7.7
Symetria	2003	7.791	7.6
Det Sjunde inseglet	1957	7.79	8.3
9 rota	2005	7.79	7.1
Trainspotting	1996	7.789	8.2
Now Is Good	2012	7.789	6.9
La Migliore offerta	2013	7.789	7.8
Utomlyonnye solntsem	1994	7.789	7.8
Idi i smotri	1985	7.789	8.2
The Piano	1993	7.788	7.5
Witness for the Prosecution	1957	7.787	8.4
End of Watch	2012	7.786	7.6
La Haine	1995	7.784	8.0
The Madagascar Penguins in a Christmas Caper	2005	7.777	7.4
Yôjinbô	1961	7.777	8.3
Interview with the Vampire: The Vampire Chronicles	1994	7.776	7.5
Catch Me If You Can	2002	7.775	7.9
Citizen Kane	1941	7.774	8.5
Pirates of the Caribbean: At World's End	2007	7.77	7.0
Sherlock Holmes	2009	7.769	7.5
Blowup	1966	7.768	7.6
Fanny och Alexander	1982	7.767	8.1
Vertigo	1958	7.767	8.5
Rosemary's Baby	1968	7.766	8.0
The Art of Flight	2011	7.764	8.0
Adams æbler	2005	7.762	7.8
Manhattan	1979	7.762	8.0
The Girl with the Dragon Tattoo	2011	7.761	7.8
The Life of David Gale	2003	7.76	7.4
Black Hawk Down	2001	7.759	7.7
The Nightmare Before Christmas	1993	7.759	8.0
La Strada	1954	7.753	8.1
What's Eating Gilbert Grape	1993	7.752	7.7
Nosferatu, eine Symphonie des Grauens	1922	7.75	8.0
Remember the Titans	2000	7.749	7.6
Black Swan	2010	7.748	8.0
August Rush	2007	7.747	7.4
My Sister's Keeper	2009	7.746	7.3
Changeling	2008	7.745	7.8
Breaking the Waves	1996	7.745	7.8
Hotel Rwanda	2004	7.744	8.2
Kaze no tani no Naushika	1984	7.744	8.1
The Perks of Being a Wallflower	2012	7.743	8.0
Taken	2008	7.742	7.8
Raiders of the Lost Ark	1981	7.742	8.6
Rio Bravo	1959	7.742	8.0
Mystic River	2003	7.741	8.0
Pride & Prejudice	2005	7.74	7.7
Control	2007	7.74	8.1
Dirty Harry	1971	7.74	7.8
Butch Cassidy and the Sundance Kid	1969	7.739	8.2
The Color Purple	1985	7.738	7.7
Das Leben der Anderen	2006	7.738	8.5
Nie ma mocnych	1974	7.734	7.4
Million Dollar Baby	2004	7.734	8.1
Of Mice and Men	1992	7.733	7.5
Dead Poets Society	1989	7.733	7.8
Inside Man	2006	7.732	7.6
The Bourne Supremacy	2004	7.731	7.7
Rocky	1976	7.73	8.0
This Boy's Life	1993	7.73	7.2
Dances with Wolves	1990	7.729	8.0
The Bourne Identity	2002	7.727	7.9
Dial M for Murder	1954	7.724	8.1
Zelig	1983	7.723	7.7
Fracture	2007	7.722	7.1
Donnie Darko	2001	7.72	8.1
About Time	2013	7.72	7.7
Indiana Jones and the Last Crusade	1989	7.72	8.3
Ran	1985	7.719	8.3
Modern Times	1936	7.718	8.6
Prisoners	2013	7.716	8.1
Fargo	1996	7.714	8.2
Akira	1988	7.714	8.0
Falling Down	1993	7.714	7.6
Bin-jip	2004	7.713	8.0
The World's Fastest Indian	2005	7.713	7.8
Meet Joe Black	1998	7.711	7.0
Benny & Joon	1993	7.709	7.0
Les Triplettes de Belleville	2003	7.707	7.7
Big Fish	2003	7.706	8.0
The Great Escape	1963	7.706	8.3
Partly Cloudy	2009	7.706	8.1
Kiler	1997	7.705	7.4
Love Actually	2003	7.704	7.7
The Remains of the Day	1993	7.702	7.9
My Left Foot: The Story of Christy Brown	1989	7.698	7.8
The Magnificent Seven	1960	7.69	7.8
Natural Born Killers	1994	7.689	7.2
Bang, Bang, You're Dead	2002	7.689	7.8
Harry Potter and the Deathly Hallows: Part 2	2011	7.689	8.1
A Time to Kill	1996	7.689	7.2
Memoirs of a Geisha	2005	7.686	7.2
21 Grams	2003	7.685	7.7
North by Northwest	1959	7.682	8.5
Gegen die Wand	2004	7.681	7.9
The House of the Spirits	1993	7.674	6.6
Persepolis	2007	7.673	8.0
Encounters at the End of the World	2007	7.672	7.7
Lucky Number Slevin	2006	7.671	7.7
Tangled	2010	7.671	7.8
2001: A Space Odyssey	1968	7.669	8.3
Blade Runner	1982	7.667	8.2
Sophie's Choice	1982	7.666	7.6
The Hunt for Red October	1990	7.665	7.6
What Dreams May Come	1998	7.663	6.8
Oldeuboi	2003	7.662	8.4
Desert Flower	2009	7.662	7.2
Legends of the Fall	1994	7.662	7.3
The Hurricane	1999	7.661	7.4
Cinderella Man	2005	7.661	7.9
Vals im Bashir	2008	7.66	7.9
Vabank	1981	7.66	7.9
Cat on a Hot Tin Roof	1958	7.66	8.0
Walk the Line	2005	7.659	7.8
Ondskan	2003	7.659	7.8
Jôi-uchi: Hairyô tsuma shimatsu	1967	7.658	8.2
Fried Green Tomatoes	1991	7.657	7.5
Men of Honor	2000	7.657	7.0
Smoke	1995	7.655	7.2
Das Boot	1981	7.655	8.4
Star Wars: Episode III - Revenge of the Sith	2005	7.655	7.7
La Dolce vita	1960	7.654	8.0
Todo sobre mi madre	1999	7.653	7.8
The Children of Leningradsky	2005	7.652	7.2
Down by Law	1986	7.652	7.8
Indiana Jones and the Temple of Doom	1984	7.652	7.6
The Curious Case of Benjamin Button	2008	7.651	7.8
Paperman	2012	7.65	8.1
Bacheha-Ye aseman	1997	7.648	8.2
Barry Lyndon	1975	7.647	8.1
Stand by Me	1986	7.646	8.1
My Name Is Khan	2010	7.645	7.6
Crash	2004	7.645	6.9
Le Scaphandre et le papillon	2007	7.644	8.0
Fa yeung nin wa	2000	7.644	8.0
The Maltese Falcon	1941	7.642	8.2
Repulsion	1965	7.642	7.8
Cowboy Bebop: Tengoku no tobira	2001	7.639	7.7
Tsumiki no ie	2008	7.637	8.1
Serpico	1973	7.636	7.7
The Last Temptation of Christ	1988	7.634	7.5
Everything Is Illuminated	2005	7.633	7.4
Sherlock Holmes: A Game of Shadows	2011	7.633	7.4
Hable con ella	2002	7.632	8.0
Exit Through the Gift Shop	2010	7.631	8.0
Angel Heart	1987	7.629	7.3
Ice Age	2002	7.629	7.5
Lost Highway	1997	7.629	7.6
The Fighter	2010	7.629	7.9
Wild at Heart	1990	7.629	7.2
Inside I'm Dancing	2004	7.628	7.7
American Beauty	1999	7.628	8.5
300	2006	7.626	7.7
Leaving Las Vegas	1995	7.626	7.5
Dog Day Afternoon	1975	7.626	8.1
Dogville	2003	7.626	7.9
Train de vie	1998	7.625	7.5
Byôsoku 5 senchimêtoru	2007	7.625	7.8
Les douze travaux d'Astérix	1976	7.625	7.5
City of Angels	1998	7.624	6.5
The Last of the Mohicans	1992	7.623	7.7
Felon	2008	7.622	7.5
A Streetcar Named Desire	1951	7.622	8.0
The Phantom of the Opera	2004	7.622	7.2
The Killing Fields	1984	7.62	7.9
Billy Elliot	2000	7.62	7.6
Scarface	1932	7.62	7.8
Ocean's Eleven	2001	7.619	7.7
Tenkû no shiro Rapyuta	1986	7.618	8.0
Europa Europa	1990	7.614	7.6
Cocaine Cowboys	2006	7.614	7.8
Enemy of the State	1998	7.612	7.2
Training Day	2001	7.612	7.6
Where Eagles Dare	1968	7.612	7.6
Thelma & Louise	1991	7.612	7.3
Paths of Glory	1957	7.611	8.5
East of Eden	1955	7.611	8.0
The Matrix	1999	7.611	8.7
The Fugitive	1993	7.609	7.8
Taegukgi hwinalrimyeo	2004	7.607	8.0
La Grande vadrouille	1966	7.606	7.9
Corpse Bride	2005	7.606	7.3
No Man's Land	2001	7.605	7.9
Coffee and Cigarettes	2003	7.605	6.9
One Day	2011	7.604	5.5
Pay It Forward	2000	7.602	7.0
Hannibal	2001	7.6	6.6
Klass	2007	7.599	7.9
The Straight Story	1999	7.598	8.0
Undisputed III: Redemption	2010	7.597	7.3
Thor: The Dark World	2013	7.595	7.6
Iron Man	2008	7.593	7.9
The Thin Red Line	1998	7.593	7.6
Arsenic and Old Lace	1944	7.593	8.0
The Last Samurai	2003	7.593	7.7
L.A. Confidential	1997	7.593	8.3
Johnny Got His Gun	1971	7.593	7.8
Män som hatar kvinnor	2009	7.592	7.8
Kongen av Bastøy	2010	7.592	7.3
K-PAX	2001	7.59	7.2
The Fisher King	1991	7.59	7.5
The Constant Gardener	2005	7.59	7.5
Mulan	1998	7.59	7.3
The Bucket List	2007	7.589	7.4
Lord of War	2005	7.589	7.6
Escape from Alcatraz	1979	7.589	7.6
Patch Adams	1998	7.587	6.4
Finding Forrester	2000	7.586	7.2
JFK	1991	7.585	8.0
Kelly's Heroes	1970	7.585	7.5
Sweeney Todd: The Demon Barber of Fleet Street	2007	7.584	7.4
A Single Man	2009	7.583	7.5
Alexis Zorbas	1964	7.583	7.6
Birdy	1984	7.581	7.2
Cría cuervos	1976	7.581	7.9
Dead Man	1995	7.581	7.5
Die Hard	1988	7.58	8.3
Memento	2000	7.58	8.5
Aliens	1986	7.58	8.5
Limitless	2011	7.58	7.3
Rejs	1970	7.579	7.9
Who's Afraid of Virginia Woolf?	1966	7.579	8.1
The Exorcist	1973	7.578	8.0
Fear and Loathing in Las Vegas	1998	7.577	7.6
Le Voyage dans la lune	1902	7.577	8.2
Tato	1995	7.576	7.0
The Dirty Dozen	1967	7.576	7.8
Der Himmel über Berlin	1987	7.576	8.0
A Walk to Remember	2002	7.575	7.2
Lady and the Tramp	1955	7.574	7.4
We Were Soldiers	2002	7.574	7.0
Enter the Dragon	1973	7.573	7.6
The Basketball Diaries	1995	7.573	7.1
Tres metros sobre el cielo	2010	7.573	6.8
Chocolat	2000	7.569	7.2
Finding Neverland	2004	7.569	7.7
Le fabuleux destin d'Amélie Poulain	2001	7.568	8.4
Magnum Force	1973	7.567	7.1
High Noon	1952	7.567	8.1
Keith	2008	7.567	7.4
Psy	1992	7.566	7.5
Amarcord	1973	7.566	7.9
Love and Death	1975	7.565	7.7
Dead Man Walking	1995	7.565	7.5
Little Big Man	1970	7.565	7.6
There Will Be Blood	2007	7.564	8.1
Mar adentro	2004	7.563	8.0
Dracula	1992	7.561	7.4
My Fair Lady	1964	7.56	7.8
Blue Velvet	1986	7.557	7.8
The Avengers	2012	7.557	8.2
Lethal Weapon	1987	7.557	7.6
Kal Ho Naa Ho	2003	7.556	7.8
Four Rooms	1995	7.555	6.5
The Doors	1991	7.555	7.1
The Breakfast Club	1985	7.555	7.9
Chelovek s kino-apparatom	1929	7.554	8.3
Twelve Monkeys	1995	7.554	8.1
This Is England	2006	7.553	7.7
The Jacket	2005	7.553	7.0
Freedom Writers	2007	7.553	7.4
Skazany na bluesa	2005	7.552	6.9
Brothers	2009	7.552	7.2
Road to Perdition	2002	7.552	7.7
Cast Away	2000	7.55	7.6
Veer-Zaara	2004	7.548	7.5
Buena Vista Social Club	1999	7.548	7.4
Good Morning, Vietnam	1987	7.547	7.2
