date,v1,v2
2011-06-05,143,0
2011-07-03,34,39
2011-07-31,13,54
2011-08-28,8,19
2011-09-25,7,40
2011-10-23,2,13
2011-11-20,2,26
2011-12-18,19,32
2012-01-15,6,56
2012-02-12,2,25
2012-03-11,3,63
2012-04-08,17,107
2012-05-06,9,78
2012-06-03,3,80
2012-07-01,7,36
2012-07-29,4,74
2012-08-26,6,81
2012-09-23,3,102
2012-10-21,10,124
2012-11-18,33,109
2012-12-16,6,72
2013-01-13,3,76
2013-02-10,185,63
2013-03-10,120,107
2013-04-07,82,129
2013-05-05,76,157
2013-06-02,69,172
2013-06-30,111,149
2013-07-28,62,163
2013-08-25,27,124
2013-09-22,32,213
2013-10-20,34,167
2013-11-17,56,180
2013-12-15,38,219
2014-01-12,77,221
2014-02-09,49,166
2014-03-09,42,146
2014-04-06,39,183
2014-05-04,31,161
2014-06-01,43,114
2014-06-29,25,182
2014-07-27,26,163
2014-08-24,52,140
2014-09-21,23,157
2014-10-19,17,198
2014-11-16,84,168
2014-12-14,23,207
2015-01-11,23,174
2015-02-08,28,196
2015-03-08,36,131
