date,v1,v2,v3,v4,v5,v6,v7,v8
2011-06-05,0,134,241,116,248,206,210,54
2011-07-03,459,104,369,113,245,160,99,17
2011-07-31,677,0,0,128,202,53,109,27
2011-08-28,196,0,193,172,113,127,51,0
2011-09-25,232,112,0,0,327,172,65,9
2011-10-23,698,107,87,118,92,55,18,0
2011-11-20,0,553,78,227,150,65,52,2
2011-12-18,523,0,176,167,301,225,75,10
2012-01-15,914,113,163,118,199,222,78,16
2012-02-12,0,110,92,61,113,80,39,8
2012-03-11,179,0,76,74,329,93,96,32
2012-04-08,341,0,0,0,263,119,162,62
2012-05-06,0,121,84,130,181,145,218,7
2012-06-03,220,105,530,295,84,177,110,27
2012-07-01,0,0,0,192,40,81,18,30
2012-07-29,493,105,341,116,164,146,111,35
2012-08-26,547,382,81,124,311,225,120,33
2012-09-23,414,112,177,114,313,182,86,52
2012-10-21,526,505,182,367,467,326,224,26
2012-11-18,523,273,255,566,397,315,173,54
2012-12-16,716,104,259,294,212,160,150,14
2013-01-13,690,0,87,126,363,158,135,22
2013-02-10,391,106,189,450,299,431,391,110
2013-03-10,151,108,159,261,479,311,367,101
2013-04-07,473,281,80,126,371,557,394,67
2013-05-05,0,210,0,480,623,376,509,74
2013-06-02,201,0,86,106,353,580,594,61
2013-06-30,379,120,92,278,315,389,538,87
2013-07-28,0,104,265,305,260,352,509,73
2013-08-25,215,0,93,114,156,280,359,48
2013-09-22,154,140,336,179,502,483,585,70
2013-10-20,267,141,79,330,421,475,437,49
2013-11-17,312,133,78,127,419,553,488,72
2013-12-15,391,107,187,131,417,410,618,74
2014-01-12,156,0,155,382,384,359,541,129
2014-02-09,0,0,183,216,531,404,480,64
2014-03-09,371,136,95,333,265,336,427,54
2014-04-06,0,132,349,137,487,386,520,59
2014-05-04,0,0,370,0,552,352,412,52
2014-06-01,183,104,84,417,309,129,292,57
2014-06-29,0,0,90,135,271,339,369,74
2014-07-27,0,114,86,200,384,364,363,57
