date,v1,v2,v3,v4,v5,v6,v7,v8
2011-06-05,0,0,0,0,15,138,568,488
2011-07-03,0,0,0,25,117,175,819,430
2011-07-31,0,0,0,223,356,190,251,176
2011-08-28,0,0,0,0,88,124,408,232
2011-09-25,0,0,0,0,57,103,504,253
2011-10-23,0,0,0,65,324,193,478,115
2011-11-20,103,0,0,21,0,255,414,334
2011-12-18,58,0,0,0,243,400,453,323
2012-01-15,0,0,71,80,312,423,478,459
2012-02-12,0,0,0,0,0,19,280,204
2012-03-11,0,43,0,0,0,102,419,315
2012-04-08,0,47,0,0,139,81,434,246
2012-05-06,0,0,0,29,12,115,499,231
2012-06-03,0,0,0,25,56,336,824,307
2012-07-01,0,0,0,0,0,56,184,121
2012-07-29,0,0,0,30,237,145,740,359
2012-08-26,58,0,79,0,132,284,949,321
2012-09-23,144,0,0,0,187,108,608,403
2012-10-21,0,0,32,151,124,566,1265,485
2012-11-18,0,177,136,0,206,314,1148,575
2012-12-16,491,49,0,121,134,122,668,324
2013-01-13,0,41,0,232,270,264,495,279
2013-02-10,0,0,0,122,445,334,627,839
2013-03-10,0,0,0,25,250,225,527,910
2013-04-07,0,82,74,67,370,545,602,609
2013-05-05,0,0,0,0,259,410,943,660
2013-06-02,0,0,0,151,286,177,701,666
2013-06-30,0,0,0,72,195,211,729,991
2013-07-28,0,0,0,0,209,343,835,481
2013-08-25,0,0,0,0,46,285,596,338
2013-09-22,0,0,0,23,176,533,1161,556
2013-10-20,0,0,0,0,212,378,978,631
2013-11-17,0,0,0,30,113,536,831,672
2013-12-15,0,0,0,22,499,281,855,678
2014-01-12,0,0,0,0,99,212,925,870
2014-02-09,0,0,0,0,232,382,771,493
2014-03-09,0,0,0,25,391,542,598,461
2014-04-06,0,0,0,0,176,360,973,561
2014-05-04,0,0,0,98,45,244,686,665
2014-06-01,0,0,0,0,27,223,603,722
2014-06-29,0,0,0,22,79,83,565,529
2014-07-27,0,0,0,22,315,185,436,610
