date,v1,v2
2011-06-05,1209,0
2011-07-03,384,1182
2011-07-31,832,364
2011-08-28,120,732
2011-09-25,168,749
2011-10-23,11,1164
2011-11-20,42,1085
2011-12-18,163,1314
2012-01-15,33,1790
2012-02-12,16,487
2012-03-11,45,834
2012-04-08,57,890
2012-05-06,43,843
2012-06-03,89,1459
2012-07-01,78,283
2012-07-29,17,1494
2012-08-26,200,1623
2012-09-23,55,1395
2012-10-21,105,2518
2012-11-18,426,2130
2012-12-16,493,1416
2013-01-13,24,1557
2013-02-10,948,1419
2013-03-10,574,1363
2013-04-07,507,1842
2013-05-05,494,1778
2013-06-02,364,1617
2013-06-30,668,1530
2013-07-28,176,1692
2013-08-25,103,1162
2013-09-22,177,2272
2013-10-20,261,1938
2013-11-17,327,1855
2013-12-15,149,2186
2014-01-12,302,1804
2014-02-09,206,1672
2014-03-09,627,1390
2014-04-06,529,1541
2014-05-04,196,1542
2014-06-01,283,1292
2014-06-29,199,1079
2014-07-27,203,1365
2014-08-24,236,1122
2014-09-21,107,1206
2014-10-19,354,1984
2014-11-16,510,1273
2014-12-14,135,2121
2015-01-11,133,1691
2015-02-08,90,2341
2015-03-08,415,1925
