date,v1,v2
2011-06-05,1209,0
2011-07-03,1088,478
2011-07-31,874,322
2011-08-28,229,623
2011-09-25,258,659
2011-10-23,406,769
2011-11-20,274,853
2011-12-18,334,1143
2012-01-15,712,1111
2012-02-12,27,476
2012-03-11,81,798
2012-04-08,277,670
2012-05-06,130,756
2012-06-03,178,1370
2012-07-01,85,276
2012-07-29,566,945
2012-08-26,429,1394
2012-09-23,249,1201
2012-10-21,396,2227
2012-11-18,716,1840
2012-12-16,746,1163
2013-01-13,436,1145
2013-02-10,1813,554
2013-03-10,1086,851
2013-04-07,957,1392
2013-05-05,945,1327
2013-06-02,646,1335
2013-06-30,1328,870
2013-07-28,316,1552
2013-08-25,247,1018
2013-09-22,336,2113
2013-10-20,461,1738
2013-11-17,671,1511
2013-12-15,591,1744
2014-01-12,659,1447
2014-02-09,342,1536
2014-03-09,885,1132
2014-04-06,689,1381
2014-05-04,505,1233
2014-06-01,547,1028
2014-06-29,342,936
2014-07-27,383,1185
2014-08-24,462,896
2014-09-21,264,1049
2014-10-19,479,1859
2014-11-16,679,1104
2014-12-14,282,1974
2015-01-11,270,1554
2015-02-08,283,2148
2015-03-08,635,1705
