date,v1,v2
2011-06-05,863,346
2011-07-03,1388,178
2011-07-31,1116,80
2011-08-28,827,25
2011-09-25,852,65
2011-10-23,1175,0
2011-11-20,1091,36
2011-12-18,1274,203
2012-01-15,1662,161
2012-02-12,496,7
2012-03-11,787,92
2012-04-08,751,196
2012-05-06,670,216
2012-06-03,1345,203
2012-07-01,338,23
2012-07-29,1328,183
2012-08-26,1506,317
2012-09-23,1220,230
2012-10-21,1818,805
2012-11-18,1804,752
2012-12-16,1653,256
2013-01-13,1372,209
2013-02-10,1435,932
2013-03-10,1105,832
2013-04-07,1403,946
2013-05-05,1101,1171
2013-06-02,886,1095
2013-06-30,1234,964
2013-07-28,1002,866
2013-08-25,823,442
2013-09-22,1232,1217
2013-10-20,1238,961
2013-11-17,1094,1088
2013-12-15,1258,1077
2014-01-12,1077,1029
2014-02-09,955,923
2014-03-09,1271,746
2014-04-06,1105,965
2014-05-04,947,791
2014-06-01,1156,419
2014-06-29,698,580
2014-07-27,851,717
2014-08-24,764,594
2014-09-21,722,591
2014-10-19,1224,1114
2014-11-16,885,898
2014-12-14,1392,864
2015-01-11,1020,804
2015-02-08,1518,913
2015-03-08,1653,687
