date,v1,v2
2011-06-05,735,0
2011-07-03,558,218
2011-07-31,163,165
2011-08-28,134,286
2011-09-25,166,295
2011-10-23,117,201
2011-11-20,147,405
2011-12-18,146,422
2012-01-15,150,574
2012-02-12,17,301
2012-03-11,27,463
2012-04-08,89,350
2012-05-06,48,388
2012-06-03,78,574
2012-07-01,24,165
2012-07-29,141,507
2012-08-26,124,558
2012-09-23,55,614
2012-10-21,107,940
2012-11-18,161,903
2012-12-16,45,576
2013-01-13,101,418
2013-02-10,910,242
2013-03-10,758,391
2013-04-07,536,388
2013-05-05,595,459
2013-06-02,457,510
2013-06-30,927,389
2013-07-28,254,563
2013-08-25,195,415
2013-09-22,232,814
2013-10-20,383,637
2013-11-17,459,588
2013-12-15,325,723
2014-01-12,485,764
2014-02-09,232,589
2014-03-09,372,411
2014-04-06,418,537
2014-05-04,374,571
2014-06-01,358,614
2014-06-29,255,504
2014-07-27,290,529
2014-08-24,333,504
2014-09-21,230,557
2014-10-19,271,687
2014-11-16,307,540
2014-12-14,132,721
2015-01-11,184,608
2015-02-08,222,835
2015-03-08,256,625
